"site";"interaction_type";"rep";"metric";"value"
"Argyle Square";"Pollinator";1;"richness";NA
"Argyle Square";"Pollinator";1;"connectance";NA
"Argyle Square";"Pollinator";1;"link_density";NA
"Argyle Square";"Pollinator";1;"degree_heterogeneity";NA
"Argyle Square";"Pollinator";1;"modularity_eigen";NA
"Argyle Square";"Pollinator";1;"modularity_betweenness";NA
"Argyle Square";"Pollinator";1;"nestedness";NA
"Argyle Square";"Pollinator";1;"centrality_degree";NA
"Argyle Square";"Pollinator";1;"centrality_betweenness";NA
"Argyle Square";"Pollinator";1;"centrality_eigen";NA
"Argyle Square";"Pollinator";1;"interaction_overlap";NA
"Argyle Square";"Pollinator";2;"richness";NA
"Argyle Square";"Pollinator";2;"connectance";NA
"Argyle Square";"Pollinator";2;"link_density";NA
"Argyle Square";"Pollinator";2;"degree_heterogeneity";NA
"Argyle Square";"Pollinator";2;"modularity_eigen";NA
"Argyle Square";"Pollinator";2;"modularity_betweenness";NA
"Argyle Square";"Pollinator";2;"nestedness";NA
"Argyle Square";"Pollinator";2;"centrality_degree";NA
"Argyle Square";"Pollinator";2;"centrality_betweenness";NA
"Argyle Square";"Pollinator";2;"centrality_eigen";NA
"Argyle Square";"Pollinator";2;"interaction_overlap";NA
"Argyle Square";"Pollinator";3;"richness";NA
"Argyle Square";"Pollinator";3;"connectance";NA
"Argyle Square";"Pollinator";3;"link_density";NA
"Argyle Square";"Pollinator";3;"degree_heterogeneity";NA
"Argyle Square";"Pollinator";3;"modularity_eigen";NA
"Argyle Square";"Pollinator";3;"modularity_betweenness";NA
"Argyle Square";"Pollinator";3;"nestedness";NA
"Argyle Square";"Pollinator";3;"centrality_degree";NA
"Argyle Square";"Pollinator";3;"centrality_betweenness";NA
"Argyle Square";"Pollinator";3;"centrality_eigen";NA
"Argyle Square";"Pollinator";3;"interaction_overlap";NA
"Argyle Square";"Pollinator";4;"richness";NA
"Argyle Square";"Pollinator";4;"connectance";NA
"Argyle Square";"Pollinator";4;"link_density";NA
"Argyle Square";"Pollinator";4;"degree_heterogeneity";NA
"Argyle Square";"Pollinator";4;"modularity_eigen";NA
"Argyle Square";"Pollinator";4;"modularity_betweenness";NA
"Argyle Square";"Pollinator";4;"nestedness";NA
"Argyle Square";"Pollinator";4;"centrality_degree";NA
"Argyle Square";"Pollinator";4;"centrality_betweenness";NA
"Argyle Square";"Pollinator";4;"centrality_eigen";NA
"Argyle Square";"Pollinator";4;"interaction_overlap";NA
"Argyle Square";"Pollinator";5;"richness";NA
"Argyle Square";"Pollinator";5;"connectance";NA
"Argyle Square";"Pollinator";5;"link_density";NA
"Argyle Square";"Pollinator";5;"degree_heterogeneity";NA
"Argyle Square";"Pollinator";5;"modularity_eigen";NA
"Argyle Square";"Pollinator";5;"modularity_betweenness";NA
"Argyle Square";"Pollinator";5;"nestedness";NA
"Argyle Square";"Pollinator";5;"centrality_degree";NA
"Argyle Square";"Pollinator";5;"centrality_betweenness";NA
"Argyle Square";"Pollinator";5;"centrality_eigen";NA
"Argyle Square";"Pollinator";5;"interaction_overlap";NA
"Argyle Square";"Pollinator";6;"richness";NA
"Argyle Square";"Pollinator";6;"connectance";NA
"Argyle Square";"Pollinator";6;"link_density";NA
"Argyle Square";"Pollinator";6;"degree_heterogeneity";NA
"Argyle Square";"Pollinator";6;"modularity_eigen";NA
"Argyle Square";"Pollinator";6;"modularity_betweenness";NA
"Argyle Square";"Pollinator";6;"nestedness";NA
"Argyle Square";"Pollinator";6;"centrality_degree";NA
"Argyle Square";"Pollinator";6;"centrality_betweenness";NA
"Argyle Square";"Pollinator";6;"centrality_eigen";NA
"Argyle Square";"Pollinator";6;"interaction_overlap";NA
