"sp_1";"site_1";"sp_2";"site_2";"interaction_type";"apparent_interaction_value"
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Herbivory";605
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia acinacea";"Royal Park";"Herbivory";95,8666838622855
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia acinacea";"Westgate Park";"Herbivory";9,9395648760794
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia cognata";"Fitzroy-Treasury Gardens";"Herbivory";494,166666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia implexa";"Royal Park";"Herbivory";39,6238701356959
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia mearnsii";"Royal Park";"Herbivory";108,228305483907
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia mearnsii";"Westgate Park";"Herbivory";15,0934133303428
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia melanoxylon";"Westgate Park";"Herbivory";9,9395648760794
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acacia verniciflua";"Royal Park";"Herbivory";134,644218907704
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acanthus mollis";"Carlton Gardens South";"Herbivory";157,560559729854
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Acanthus mollis";"Fitzroy-Treasury Gardens";"Herbivory";165,654761904762
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Carlton Gardens South";"Herbivory";119,334660386528
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Agapanthus praecox";"Fitzroy-Treasury Gardens";"Herbivory";455
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Allocasuarina verticillata";"Royal Park";"Herbivory";39,6238701356959
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Aloysia citrodora";"Carlton Gardens South";"Herbivory";41,1365008161689
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Angophora costata";"Garrard Street Reserve";"Herbivory";5,52225711188367
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Argyranthemum sp.";"Carlton Gardens South";"Herbivory";126,902224215917
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Argyranthemum sp.";"Fitzroy-Treasury Gardens";"Herbivory";292,5
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Artemisia arborescens";"Fitzroy-Treasury Gardens";"Herbivory";200
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Artemisia arborescens";"State Library of Victoria";"Herbivory";47,0870173077642
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Asparagus aethiopicus";"Fitzroy-Treasury Gardens";"Herbivory";316,666666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Aucuba japonica";"Carlton Gardens South";"Herbivory";157,560559729854
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Aucuba japonica";"Fitzroy-Treasury Gardens";"Herbivory";66,6666666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Avena barbata";"Royal Park";"Herbivory";190,040697544017
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Bursaria spinosa";"Royal Park";"Herbivory";79,1622518784345
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Bursaria spinosa";"Westgate Park";"Herbivory";9,12967440469515
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Buxus sp.";"Argyle Square";"Herbivory";110,514993832006
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Buxus sp.";"Princes Park";"Herbivory";95,1216776942918
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Calodendrum capense ";"Royal Park";"Herbivory";158,495480542783
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Camellia sp.";"Fitzroy-Treasury Gardens";"Herbivory";455
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Canna generalis";"Carlton Gardens South";"Herbivory";152,515517176928
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Canna generalis";"Fitzroy-Treasury Gardens";"Herbivory";200
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Canna indica";"Carlton Gardens South";"Herbivory";243,326283129603
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Carex flagellifera";"Fitzroy-Treasury Gardens";"Herbivory";177,5
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cassinia arcuata";"Royal Park";"Herbivory";68,6300818660985
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Celtis australis";"State Library of Victoria";"Herbivory";14,7831333408097
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cercis canadensis";"Fitzroy-Treasury Gardens";"Herbivory";200
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Chlorophytum comosum";"Fitzroy-Treasury Gardens";"Herbivory";555
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cistus sp.";"Women's Peace Gardens";"Herbivory";16,535393069418
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Clivia miniata";"Fitzroy-Treasury Gardens";"Herbivory";137,666666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Correa glabra";"Royal Park";"Herbivory";79,2477402713917
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Correa glabra";"Westgate Park";"Herbivory";13,9890172330006
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Correa reflexa";"Royal Park";"Herbivory";319,299147695413
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Corymbia maculata";"Royal Park";"Herbivory";168,882320287092
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon01";"Argyle Square";"Herbivory";63,443792755411
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon02";"Argyle Square";"Herbivory";22,5123135583716
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon04";"Carlton Gardens South";"Herbivory";119,916780681096
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon05";"Carlton Gardens South";"Herbivory";246,819004897013
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon06";"Carlton Gardens South";"Herbivory";58,2120294568427
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon07";"Fitzroy-Treasury Gardens";"Herbivory";433,75
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon08";"Fitzroy-Treasury Gardens";"Herbivory";118,333333333333
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon09";"Fitzroy-Treasury Gardens";"Herbivory";322,5
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon10";"Fitzroy-Treasury Gardens";"Herbivory";318,333333333333
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon11";"Fitzroy-Treasury Gardens";"Herbivory";422,5
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon12";"Gardiner Reserve";"Herbivory";9,635094015177
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon13";"Garrard Street Reserve";"Herbivory";2,36668161937871
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon14";"Lincoln Square";"Herbivory";47,1278681170797
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon15";"Lincoln Square";"Herbivory";47,1278681170797
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon16";"Murchinson Square";"Herbivory";20,3411224502511
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon17";"Pleasance Gardens";"Herbivory";20,0046906657695
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon18";"Princes Park";"Herbivory";104,633845463721
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon20";"Princes Park";"Herbivory";104,633845463721
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon21";"Princes Park";"Herbivory";139,511793951628
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon22";"Princes Park";"Herbivory";66,5851743860043
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon23";"Princes Park";"Herbivory";110,97529064334
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon24";"Royal Park";"Herbivory";43,0861500504654
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon25";"Royal Park";"Herbivory";333,917662891107
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon26";"Royal Park";"Herbivory";175,422182348323
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon28";"Royal Park";"Herbivory";158,495480542783
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon29";"Royal Park";"Herbivory";158,495480542783
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon30";"Royal Park";"Herbivory";181,577346641247
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon31";"Royal Park";"Herbivory";287,75393069418
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon32";"Royal Park";"Herbivory";43,0861500504654
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon33";"State Library of Victoria";"Herbivory";32,8514074240215
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon34";"University Square";"Herbivory";39,2562857463272
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon35";"University Square";"Herbivory";12,1507551119584
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon36";"Westgate Park";"Herbivory";9,9395648760794
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon37";"Westgate Park";"Herbivory";2,20879219468431
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon38";"Westgate Park";"Herbivory";19,8791297521588
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon40";"Women's Peace Gardens";"Herbivory";33,0707861388359
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Cynodon dactylon41";"Women's Peace Gardens";"Herbivory";16,535393069418
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Dianella sp.";"Princes Park";"Herbivory";76,0973421554334
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Dianella sp.";"Westgate Park";"Herbivory";19,8791297521588
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Dichanthium sericeum";"Royal Park";"Herbivory";158,495480542783
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Dietes sp.";"State Library of Victoria";"Herbivory";53,2922831545238
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Dietes sp.";"Women's Peace Gardens";"Herbivory";24,8571268363799
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Dillwynia sp.";"Royal Park";"Herbivory";398,546887966805
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Duma florulenta";"Westgate Park";"Herbivory";22,0879219468431
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Echium candicans";"Carlton Gardens South";"Herbivory";52,5848666093479
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Echium candicans";"State Library of Victoria";"Herbivory";41,6117827370939
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Enchylaena tomentosa";"Princes Park";"Herbivory";47,5608388471459
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Erythrina herbacea";"Fitzroy-Treasury Gardens";"Herbivory";100
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Eucalyptus camaldulensis";"Royal Park";"Herbivory";52,8318268475945
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Eucalyptus sideroxylon";"Princes Park";"Herbivory";33,2925871930021
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Eucalyptus tricarpa";"Westgate Park";"Herbivory";9,9395648760794
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Euphorbia characias";"State Library of Victoria";"Herbivory";20,805891368547
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ficus macrophylla";"Carlton Gardens South";"Herbivory";239,833561362192
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ficus macrophylla";"Fitzroy-Treasury Gardens";"Herbivory";421,666666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ficus macrophylla";"Lincoln Square";"Herbivory";45,1642069455347
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ficus macrophylla";"Princes Park";"Herbivory";98,2924002841015
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ficus macrophylla";"Royal Park";"Herbivory";79,2477402713917
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Fraxinus angustifolia";"Princes Park";"Herbivory";66,5851743860043
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Goodenia ovata";"Royal Park";"Herbivory";143,87696534709
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Goodenia ovata";"Westgate Park";"Herbivory";6,55275017756346
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Hakea sp.";"Royal Park";"Herbivory";158,495480542783
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Hakea sp.";"Westgate Park";"Herbivory";11,7802250383163
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Hedychium sp";"Fitzroy-Treasury Gardens";"Herbivory";318,333333333333
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Helleborus sp.";"Fitzroy-Treasury Gardens";"Herbivory";181,666666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Hydrangea sp.";"Fitzroy-Treasury Gardens";"Herbivory";362,5
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Iris albicans";"Carlton Gardens South";"Herbivory";119,916780681096
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Kniphofia sp.";"Carlton Gardens South";"Herbivory";178,128810137939
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Kunzea leptospermoides";"Royal Park";"Herbivory";79,2477402713917
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Kunzea leptospermoides";"Westgate Park";"Herbivory";9,9395648760794
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Lavandula sp.";"Argyle Square";"Herbivory";65,490366715263
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Lavandula sp.";"Carlton Gardens South";"Herbivory";106,333973807833
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Lavandula sp.";"Women's Peace Gardens";"Herbivory";12,320488953684
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Lomandra longifolia";"Princes Park";"Herbivory";82,4387873350529
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Lomandra longifolia";"Royal Park";"Herbivory";319,299147695413
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Lomandra longifolia";"Westgate Park";"Herbivory";9,9395648760794
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Lophostemon confertus";"Fitzroy-Treasury Gardens";"Herbivory";177,5
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Lophostemon confertus";"Princes Park";"Herbivory";22,1950581286681
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Melaleuca armillaris";"Royal Park";"Herbivory";163,62478412022
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Melaleuca lanceolata";"Westgate Park";"Herbivory";9,9395648760794
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Melaleuca nesophila";"Westgate Park";"Herbivory";4,9697824380397
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Melaleuca styphelioides";"Princes Park";"Herbivory";68,1705356809091
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Melaleuca viminalis";"Royal Park";"Herbivory";142,492053381182
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Melaleuca viminalis";"Women's Peace Gardens";"Herbivory";16,535393069418
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Mentha pulegium";"Argyle Square";"Herbivory";103,6930806325
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Miscanthus sinensis";"Lincoln Square";"Herbivory";6,5455372384833
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Nandina domestica";"Fitzroy-Treasury Gardens";"Herbivory";86,7222222222222
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Nerium oleander";"Fitzroy-Treasury Gardens";"Herbivory";600
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Nerium oleander";"Princes Park";"Herbivory";89,5729131621248
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Olea europaea";"Women's Peace Gardens";"Herbivory";12,320488953684
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ozothamnus ferrugineus";"Royal Park";"Herbivory";39,6238701356959
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Pittosporum sp.";"Fitzroy-Treasury Gardens";"Herbivory";330
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Platanus acerifolia";"Carlton Gardens South";"Herbivory";61,7047512242533
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Platanus acerifolia";"Fitzroy-Treasury Gardens";"Herbivory";100
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Platanus acerifolia";"Gardiner Reserve";"Herbivory";2,06466300325221
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Plectranthus argentatus";"Argyle Square";"Herbivory";85,9561063137827
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Plectranthus argentatus";"Carlton Gardens South";"Herbivory";123,409502448507
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Plectranthus argentatus";"Fitzroy-Treasury Gardens";"Herbivory";389,166666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Poa labillardierei";"Princes Park";"Herbivory";53,3738302617971
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Poa labillardierei";"Royal Park";"Herbivory";299,03839856454
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Poa labillardierei";"Westgate Park";"Herbivory";2,83987567887983
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Pyrus calleryana";"Argyle Square";"Herbivory";40,9314791970394
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Quercus bicolor";"Fitzroy-Treasury Gardens";"Herbivory";600
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Quercus robur";"Carlton Gardens South";"Herbivory";157,560559729854
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Rhagodia parabolica";"Princes Park";"Herbivory";133,170348772009
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Rhagodia parabolica";"Royal Park";"Herbivory";39,9829213861164
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Rosmarinus officinalis";"Argyle Square";"Herbivory";55,2574969160031
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Rosmarinus officinalis";"Women's Peace Gardens";"Herbivory";18,0268206796008
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Rytidosperma sp.";"Royal Park";"Herbivory";130,181724795335
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Rytidosperma sp.";"Westgate Park";"Herbivory";10,1236308923031
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Salvia leucantha";"Argyle Square";"Herbivory";73,6766625546709
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Salvia leucantha";"Carlton Gardens South";"Herbivory";152,515517176928
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Santolina chamaecyparissus";"Women's Peace Gardens";"Herbivory";10,375148592576
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Schinus molle";"Canning/Neil Street Reserve";"Herbivory";5,47945497364585
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Schinus molle";"Pleasance Gardens";"Herbivory";12,5600226782799
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Schinus molle";"Women's Peace Gardens";"Herbivory";11,34781877313
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Stachys byzantina";"Carlton Gardens South";"Herbivory";143,977752856591
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Strelitzia reginae";"Carlton Gardens South";"Herbivory";41,1365008161689
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Strelitzia reginae";"Fitzroy-Treasury Gardens";"Herbivory";277,5
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Tanacetum vulgare";"Carlton Gardens South";"Herbivory";126,902224215917
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Themeda triandra";"Royal Park";"Herbivory";74,7852461590221
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Themeda triandra";"Westgate Park";"Herbivory";6,62637658405293
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Tilia cordata";"Lincoln Square";"Herbivory";68,7281410040746
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Trachelospermum jasminoides";"Lincoln Square";"Herbivory";19,2438794811409
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Trachelospermum jasminoides";"State Library of Victoria";"Herbivory";81,0334716459198
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ulmus procera";"Argyle Square";"Herbivory";58,6684535157564
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ulmus procera";"Fitzroy-Treasury Gardens";"Herbivory";257,5
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ulmus procera";"Murchinson Square";"Herbivory";19,9904134424881
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ulmus procera";"Princes Park";"Herbivory";126,828903592389
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Ulmus procera";"University Square";"Herbivory";17,7587959328623
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Viburnum sp.";"Fitzroy-Treasury Gardens";"Herbivory";566,666666666667
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Viburnum sp.";"State Library of Victoria";"Herbivory";53,2922831545238
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Westringia fruticosa";"State Library of Victoria";"Herbivory";33,5814387001109
"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Westringia fruticosa";"Westgate Park";"Herbivory";19,8791297521588
"Acacia acinacea";"Royal Park";"Abelia grandiflora";"Fitzroy-Treasury Gardens";"Herbivory";1011,08832118425
"Acacia acinacea";"Royal Park";"Acacia acinacea";"Royal Park";"Herbivory";4508,57
"Acacia acinacea";"Royal Park";"Acacia acinacea";"Westgate Park";"Herbivory";38,8637027400845
"Acacia acinacea";"Royal Park";"Acacia cognata";"Fitzroy-Treasury Gardens";"Herbivory";844,078196702927
"Acacia acinacea";"Royal Park";"Acacia implexa";"Royal Park";"Herbivory";817,3
"Acacia acinacea";"Royal Park";"Acacia mearnsii";"Royal Park";"Herbivory";1911,06666666667
"Acacia acinacea";"Royal Park";"Acacia mearnsii";"Westgate Park";"Herbivory";82,8603473515009
"Acacia acinacea";"Royal Park";"Acacia melanoxylon";"Westgate Park";"Herbivory";84,6935408769766
"Acacia acinacea";"Royal Park";"Acacia verniciflua";"Royal Park";"Herbivory";490,6
"Acacia acinacea";"Royal Park";"Acanthus mollis";"Carlton Gardens South";"Herbivory";335,696680049344
"Acacia acinacea";"Royal Park";"Acanthus mollis";"Fitzroy-Treasury Gardens";"Herbivory";278,457678591455
"Acacia acinacea";"Royal Park";"Agapanthus praecox";"Carlton Gardens South";"Herbivory";753,101710440731
"Acacia acinacea";"Royal Park";"Agapanthus praecox";"Fitzroy-Treasury Gardens";"Herbivory";749,288666591903
"Acacia acinacea";"Royal Park";"Allocasuarina verticillata";"Royal Park";"Herbivory";113,3
"Acacia acinacea";"Royal Park";"Aloysia citrodora";"Carlton Gardens South";"Herbivory";623,753237187395
"Acacia acinacea";"Royal Park";"Angophora costata";"Garrard Street Reserve";"Herbivory";47,1641182759523
"Acacia acinacea";"Royal Park";"Argyranthemum sp.";"Carlton Gardens South";"Herbivory";492,465921722552
"Acacia acinacea";"Royal Park";"Argyranthemum sp.";"Fitzroy-Treasury Gardens";"Herbivory";479,966033419311
"Acacia acinacea";"Royal Park";"Artemisia arborescens";"Fitzroy-Treasury Gardens";"Herbivory";216,661783110912
"Acacia acinacea";"Royal Park";"Artemisia arborescens";"State Library of Victoria";"Herbivory";191,227230383911
"Acacia acinacea";"Royal Park";"Asparagus aethiopicus";"Fitzroy-Treasury Gardens";"Herbivory";523,599309184703
"Acacia acinacea";"Royal Park";"Aucuba japonica";"Carlton Gardens South";"Herbivory";335,696680049344
"Acacia acinacea";"Royal Park";"Aucuba japonica";"Fitzroy-Treasury Gardens";"Herbivory";72,2205943703039
"Acacia acinacea";"Royal Park";"Avena barbata";"Royal Park";"Herbivory";1766,6
"Acacia acinacea";"Royal Park";"Bursaria spinosa";"Royal Park";"Herbivory";822,188888888889
"Acacia acinacea";"Royal Park";"Bursaria spinosa";"Westgate Park";"Herbivory";58,6255289447124
"Acacia acinacea";"Royal Park";"Buxus sp.";"Argyle Square";"Herbivory";302,372596663053
"Acacia acinacea";"Royal Park";"Buxus sp.";"Princes Park";"Herbivory";574,933333333333
"Acacia acinacea";"Royal Park";"Calodendrum capense ";"Royal Park";"Herbivory";453,2
"Acacia acinacea";"Royal Park";"Camellia sp.";"Fitzroy-Treasury Gardens";"Herbivory";749,288666591903
"Acacia acinacea";"Royal Park";"Canna generalis";"Carlton Gardens South";"Herbivory";802,68067556353
"Acacia acinacea";"Royal Park";"Canna generalis";"Fitzroy-Treasury Gardens";"Herbivory";216,661783110912
"Acacia acinacea";"Royal Park";"Canna indica";"Carlton Gardens South";"Herbivory";528,472991364809
"Acacia acinacea";"Royal Park";"Carex flagellifera";"Fitzroy-Treasury Gardens";"Herbivory";327,24956824044
"Acacia acinacea";"Royal Park";"Cassinia arcuata";"Royal Park";"Herbivory";519,64
"Acacia acinacea";"Royal Park";"Celtis australis";"State Library of Victoria";"Herbivory";15,2660394003963
"Acacia acinacea";"Royal Park";"Cercis canadensis";"Fitzroy-Treasury Gardens";"Herbivory";216,661783110912
"Acacia acinacea";"Royal Park";"Chlorophytum comosum";"Fitzroy-Treasury Gardens";"Herbivory";857,619558147359
"Acacia acinacea";"Royal Park";"Cistus sp.";"Women's Peace Gardens";"Herbivory";268,313047188267
"Acacia acinacea";"Royal Park";"Clivia miniata";"Fitzroy-Treasury Gardens";"Herbivory";362,908486710777
"Acacia acinacea";"Royal Park";"Correa glabra";"Royal Park";"Herbivory";353,1
"Acacia acinacea";"Royal Park";"Correa glabra";"Westgate Park";"Herbivory";56,4623605846511
"Acacia acinacea";"Royal Park";"Correa reflexa";"Royal Park";"Herbivory";1497,1
"Acacia acinacea";"Royal Park";"Corymbia maculata";"Royal Park";"Herbivory";1829,3
"Acacia acinacea";"Royal Park";"Cynodon dactylon01";"Argyle Square";"Herbivory";139,091394465004
"Acacia acinacea";"Royal Park";"Cynodon dactylon02";"Argyle Square";"Herbivory";66,5219712658717
"Acacia acinacea";"Royal Park";"Cynodon dactylon04";"Carlton Gardens South";"Herbivory";226,567561287428
"Acacia acinacea";"Royal Park";"Cynodon dactylon05";"Carlton Gardens South";"Herbivory";602,702950319614
"Acacia acinacea";"Royal Park";"Cynodon dactylon06";"Carlton Gardens South";"Herbivory";271,437909610856
"Acacia acinacea";"Royal Park";"Cynodon dactylon07";"Fitzroy-Treasury Gardens";"Herbivory";801,197218795559
"Acacia acinacea";"Royal Park";"Cynodon dactylon08";"Fitzroy-Treasury Gardens";"Herbivory";376,148929012
"Acacia acinacea";"Royal Park";"Cynodon dactylon09";"Fitzroy-Treasury Gardens";"Herbivory";582,278542110575
